implementation_id,operator_id
35,1
36,1
119,1
145,1
158,1
174,1
190,1
206,1
37,2
120,2
133,2
146,2
159,2
175,2
191,2
207,2
38,3
39,3
134,3
147,3
160,3
176,3
192,3
208,3
40,4
41,4
121,4
148,4
161,4
177,4
193,4
209,4
42,5
43,5
122,5
135,5
162,5
178,5
194,5
210,5
44,6
123,6
136,6
149,6
163,6
179,6
195,6
211,6
46,7
124,7
137,7
150,7
164,7
180,7
196,7
212,7
47,8
125,8
138,8
151,8
165,8
181,8
197,8
213,8
48,9
115,9
126,9
152,9
166,9
182,9
198,9
214,9
49,10
50,10
139,10
153,10
167,10
183,10
199,10
215,10
51,11
52,11
127,11
140,11
168,11
184,11
200,11
216,11
53,12
54,12
128,12
154,12
169,12
185,12
201,12
217,12
55,13
129,13
141,13
155,13
170,13
186,13
202,13
218,13
116,14
130,14
142,14
156,14
171,14
187,14
203,14
219,14
117,15
131,15
143,15
157,15
172,15
188,15
204,15
220,15
45,16
118,16
132,16
144,16
173,16
189,16
205,16
221,16
