implementation_id,language_id,date_added,example,result,notes,syntax
1,1,2026-02-22,"print(""Score:"", 95, sep="" "")",Score: 95,Supports multiple arguments with customizable separator,"print(value, sep="" "", end="" "")"
5,1,2026-02-22,"age = int(input(""Enter your age: ""))",User enters: 25 -> age = 25,Always returns string; cast to int/float as needed,variable = input(prompt)
8,1,2026-02-22,"words = [""apple"", ""banana"", ""cherry""]
len(words)",3,"Works on strings, lists, tuples, dicts, sets",len(sequence)
11,1,2026-02-22,"prices = [29.99, 9.99, 49.99, 19.99]
prices.sort()","[9.99, 19.99, 29.99, 49.99]",.sort() modifies in place; sorted() returns new list,list.sort() or sorted(iterable)
14,1,2026-02-22,"nums = [1, 2, 3, 4]
squared = list(map(lambda x: x**2, nums))","[1, 4, 9, 16]",Returns iterator; wrap in list() to see results,"map(function, iterable)"
16,1,2026-02-22,"ages = [12, 18, 25, 8, 30]
adults = list(filter(lambda x: x >= 18, ages))","[18, 25, 30]",Returns elements where function returns True,"filter(function, iterable)"
18,1,2026-02-22,"csv_line = ""John,25,Engineer""
fields = csv_line.split("","")","[""John"", ""25"", ""Engineer""]",Default separator is whitespace,string.split(separator)
20,1,2026-02-22,"words = [""Hello"", ""World"", ""2024""]
"" "".join(words)",Hello World 2024,Separator is the string you call join on,separator.join(iterable)
22,1,2026-02-22,"shopping = [""milk"", ""eggs"", ""bread""]
shopping.append(""butter"")
shopping[0] = ""almond milk""","[""almond milk"", ""eggs"", ""bread"", ""butter""]","Mutable, ordered, allows duplicates, mixed types OK","my_list = [item1, item2, ...]"
26,1,2026-02-22,"student = {""name"": ""Emma"", ""gpa"": 3.8, ""year"": 2}
student[""major""] = ""CS""","{""name"": ""Emma"", ""gpa"": 3.8, ""year"": 2, ""major"": ""CS""}","Keys must be immutable (str, int, tuple)","my_dict = {key: value, ...}"
29,1,2026-02-22,"tags = {""python"", ""coding"", ""python"", ""tutorial""}
tags.add(""beginner"")","{""python"", ""coding"", ""tutorial"", ""beginner""}",Duplicates automatically removed; unordered,"my_set = {item1, item2, ...}"
31,1,2026-02-22,"undo_stack = []
undo_stack.append(""typed A"")
undo_stack.append(""typed B"")
last = undo_stack.pop()","last = ""typed B"", stack = [""typed A""]",Lists work as stacks; collections.deque is faster,stack = [] # use append() and pop()
33,1,2026-02-22,"from collections import deque
printer_queue = deque([""doc1"", ""doc2""])
printer_queue.append(""doc3"")
next_job = printer_queue.popleft()","next_job = ""doc1"", queue = [""doc2"", ""doc3""]",Use deque for O(1) operations on both ends,from collections import deque; q = deque()
35,1,2026-02-22,total = 15.99 + 4.50 + 2.00,22.49,Also concatenates strings and lists,a + b
37,1,2026-02-22,"balance = 1000.00
balance = balance - 250.75",749.25,Also used for set difference: set1 - set2,a - b
38,1,2026-02-22,weekly_pay = 25.50 * 40,1020.0,"Also repeats strings: ""ha"" * 3 = ""hahaha""",a * b
40,1,2026-02-22,"avg = 285 / 3
whole_avg = 285 // 3","avg = 95.0, whole_avg = 95",/ always returns float; // truncates toward negative infinity,a / b (float) or a // b (integer)
42,1,2026-02-22,"is_even = 42 % 2
remainder = 17 % 5","is_even = 0, remainder = 2",Common for checking even/odd or cycling through indices,a % b
44,1,2026-02-22,"password = ""secret123""
is_correct = password == ""secret123""",True,"Compares value; use ""is"" to compare identity (same object)",a == b
46,1,2026-02-22,"status = ""active""
needs_attention = status != ""active""",False,Returns True if values are different,a != b
47,1,2026-02-22,"age = 21
can_drink = age > 20",True,Works with numbers and strings (lexicographic),a > b
49,1,2026-02-22,"age = 25
has_license = True
can_drive = age >= 16 and has_license",True,"Short-circuits: if first is False, second not evaluated",a and b
51,1,2026-02-22,"is_weekend = day == ""Saturday"" or day == ""Sunday""",True if day is Saturday,"Short-circuits: if first is True, second not evaluated",a or b
